,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake,accuracy,macro avg,weighted avg
precision,0.9622222222222222,0.9554140127388535,0.9705882352941176,0.9609375,0.9711286089238845,0.9726962457337884,0.9661016949152542,0.9889135254988913,0.976,0.9977728285077951,0.9723456790123457,0.9721774873834808,0.9724275731055949
recall,0.9622222222222222,1.0,0.9533333333333334,0.984,0.9866666666666667,0.95,0.912,0.9911111111111112,0.976,0.9955555555555555,0.9723456790123457,0.9710888888888889,0.9723456790123457
f1-score,0.9622222222222222,0.9771986970684039,0.9618834080717489,0.9723320158102767,0.9788359788359788,0.9612141652613828,0.9382716049382716,0.9900110987791343,0.976,0.996662958843159,0.9723456790123457,0.9714632149830577,0.9722208327569662
support,450.0,450.0,450.0,375.0,375.0,300.0,375.0,450.0,375.0,450.0,0.9723456790123457,4050.0,4050.0
